Review Text,label
"MedStar Navy Yard is my new go-to for  urgent health care.   I had the worst sinus infection and decided to try out MedStar Navy Yard based on the reviews.  I have to admit, I was skeptical, so I actually did not show up for the first appt the previous day.  But after a bad experience with an urgent care I frequented, I made an appt. What can I say!?  The welcome area and patient rokms were clean and pleasant, and the front desk clerk was hospitable and welcoming.  The nurse who took my blood pressure was quick and efficient, and Dr. Rosetti was attentive with a fantastic bedside manner. I'm glad I gave MedStar a chance.",positive
"Dr. Kalra is a very good Doctor. He's all about his business as a doctor, but you first have to come. A lot of us don't want to go, bcuz we don't want to know.  Well, if that's you, Dr. Kalra is not the doctor for you. If you want great care, a doctor who listens, goes over your medical history, ensures you're up-to-date with your vaccines, does follow ups to get you back on track, then come see Dr. Sunil Kalra! He's Awesome & yes, he does all that! He's not about rushing you; He ensures you understands before you walk away.",positive
"Dr. Janelle Leuschen is knowledgeable, patient, compassionate, communicative, and efficient. She addressed all of my concerns with clear instructions. She was thorough and very helpful. This clinic is also well managed. You can easily book appointments with the front desk or on your phone. You can access your records on your portal. I intend to continue my relationship with this clinic and Dr. Leuschen long-term. Very satisfied!",positive
"Very efficient operation - making an appointment, checking in and checking out was very fast. The tech staff and Dr. Glaser were warm and professional, and I was able to finally understand the nature of and remedies for my pain. My visit even included x-rays and the whole visit from start to finish was barely 30 minutes.",positive
"Everything from check in to Dr. visit to lab work was the best timely experience.  Secondly, each person was so kind.  Dr. did not hurry me along. Nice experience.",positive
"The staff was very pleasant and welcoming.  I love Dr. Sistrunk . She is very compassionate and thorough.  Most importantly, I was finished my appointment in a timely manner.",positive
Dr. Bailey is such a great doctor with great bed side manner and truly care about her patients.  I highly recommend Dr. Bailey.<br><br>I have not met any doctor as thorough and caring as Dr. Bailey.  She takes her time to ensure that she is checking everything.  She is the type of doctor who truly cares so I don't care waiting for her.<br>If you want a thorough caring and empathetic doctor then I highly recommend Dr. Bailey.,positive
The new doctor was great . The lab technician was fast and efficient..The only place where they can draw my blood without multiple attempts.  Reception people were helpful. Using Medstar for over 20 yrs.. new facility at the Navy  Yard is nicer than the old one  at Eastern Market,positive
"Dr. Sylvia Medley has been my Primary Care Physician for over 13 years. I have come to rely on her for all of my medical needs, no matter what the situation. She is my go-to physician and an excellent provider. I highly recommend Medstar Health professionals to take care of your health and wellness. Schedule an appointment with a physician or specialist today!",positive
"My bad experience started when I called shortly after 1:00 PM to find out if Dr. Bailey was running on time and if I should leave for my 1:40 appointment, I did that because I had to wait one hour for my physical last year. I was told she was on time. Once I got to the office and was seen by the nursing assistant, I was told that Dr. Bailey was running 20 minutes late. I was then moved to another exam room. I think she finally got to me about 30 minutes late. As it was last year, I felt that my exam was somewhat abbreviated because of the lateness. (No reflex check, for example). She did check my ears and found that I had a wax buildup, as I suspected. After she was done, Dr. Bailey said the nursing assistant would be back with referrals and to clean my ears of wax, After 30 minutes there was no sign of the nursing assistant so I peeked outside. She was at the computer and said she would be in in a minute. When she arrived, she handed me a stack of referrals and said goodbye. I asked her about my ears and she appeared very suprised and annoyed. She asked me which ear, or both ears. She went out and eventually came back. She did not put a wax-dissolving solution in my ears and have me wait for it to take effect, as is the usual practice,  but simply pumped water into my ears really hard, so hard that I had to tell her several times that it hurt. I don't know how much wax she removed as she did not show me, as is the usual practice, and soon let me go.I do not think she removed all the wax from my ears, as I've been feeling that my left ear is still blocked. It also hurts a bit, perhaps from the forceful administration of water. I'm very, very upset about this entire experience, especially after my one-hour wait a year ago. I will be looking for another practice.",negative
